team,wins,losses,win_pct,ppg,opp_ppg,point_diff
DePaul Blue Demons,9,39,0.1875,66.58333333333333,78.625,-12.041666666666666
Texas Longhorns,78,49,0.6141732283464567,73.80314960629921,69.38582677165354,4.417322834645669
Arkansas Razorbacks,60,40,0.6,76.17,72.23,3.94
Fordham Rams,5,7,0.4166666666666667,64.66666666666667,68.16666666666667,-3.5
Niagara Purple Eagles,8,14,0.36363636363636365,65.77272727272727,67.72727272727273,-1.9545454545454546
Marist Red Foxes,12,15,0.4444444444444444,64.44444444444444,64.85185185185185,-0.4074074074074074
Canisius Golden Griffins,10,15,0.4,68.6,73.12,-4.52
Maine Black Bears,1,6,0.14285714285714285,55.57142857142857,71.71428571428571,-16.142857142857142
Illinois State Redbirds,3,9,0.25,67.83333333333333,79.16666666666667,-11.333333333333334
Southern Illinois Salukis,5,8,0.38461538461538464,62.46153846153846,66.53846153846153,-4.076923076923077
Kansas City Roos,5,10,0.3333333333333333,61.06666666666667,72.6,-11.533333333333333
UCLA Bruins,75,31,0.7075471698113207,73.30188679245283,65.21698113207547,8.084905660377359
Houston Cougars,163,28,0.8534031413612565,74.1413612565445,58.58115183246073,15.56020942408377
Richmond Spiders,12,10,0.5454545454545454,66.95454545454545,68.72727272727273,-1.7727272727272727
New Mexico Lobos,20,21,0.4878048780487805,77.65853658536585,76.1951219512195,1.4634146341463414
East Carolina Pirates,5,11,0.3125,66.0,72.4375,-6.4375
Santa Clara Broncos,4,11,0.26666666666666666,74.8,86.06666666666666,-11.266666666666667
California Golden Bears,5,24,0.1724137931034483,63.0,73.72413793103448,-10.724137931034482
Kent State Golden Flashes,14,14,0.5,71.57142857142857,72.14285714285714,-0.5714285714285714
Buffalo Bulls,7,17,0.2916666666666667,72.16666666666667,80.66666666666667,-8.5
Detroit Mercy Titans,5,8,0.38461538461538464,75.0,77.92307692307692,-2.923076923076923
Princeton Tigers,15,8,0.6521739130434783,70.6086956521739,66.69565217391305,3.9130434782608696
Brown Bears,7,12,0.3684210526315789,65.42105263157895,73.21052631578948,-7.7894736842105265
Iona Gaels,18,10,0.6428571428571429,70.92857142857143,67.21428571428571,3.7142857142857144
Rider Broncs,13,18,0.41935483870967744,67.58064516129032,69.3225806451613,-1.7419354838709677
Rhode Island Rams,4,11,0.26666666666666666,67.2,73.33333333333333,-6.133333333333334
Milwaukee Panthers,4,17,0.19047619047619047,70.71428571428571,77.71428571428571,-7.0
Green Bay Phoenix,1,17,0.05555555555555555,61.5,79.0,-17.5
San Francisco Dons,6,18,0.25,72.375,77.04166666666667,-4.666666666666667
NC State Wolfpack,17,22,0.4358974358974359,70.84615384615384,71.82051282051282,-0.9743589743589743
USC Trojans,37,34,0.5211267605633803,71.47887323943662,70.54929577464789,0.9295774647887324
Nebraska Cornhuskers,12,41,0.22641509433962265,69.39622641509433,78.77358490566037,-9.377358490566039
Toledo Rockets,15,10,0.6,78.48,76.96,1.52
Northern Kentucky Norse,16,9,0.64,67.8,63.44,4.36
Central Michigan Chippewas,1,10,0.09090909090909091,66.81818181818181,78.36363636363636,-11.545454545454545
Dartmouth Big Green,7,9,0.4375,69.375,69.25,0.125
St. Bonaventure Bonnies,6,10,0.375,67.0625,69.0625,-2.0
Siena Saints,10,14,0.4166666666666667,67.95833333333333,68.04166666666667,-0.08333333333333333
Pepperdine Waves,2,20,0.09090909090909091,74.72727272727273,87.9090909090909,-13.181818181818182
SMU Mustangs,5,19,0.20833333333333334,67.04166666666667,74.33333333333333,-7.291666666666667
