game_id,gameday,home_team,away_team,home_win,point_diff,home_rolling_ppg,home_rolling_papg,home_rolling_diff,away_rolling_ppg,away_rolling_papg,away_rolling_diff,ppg_differential,papg_differential,overall_differential,home_advantage,week,is_divisional,spread_line,home_moneyline,away_moneyline
2019_10_LAC_OAK,2019-11-07,OAK,LAC,1,2.0,26.8,27.6,-0.8000000000000007,18.6,18.8,-0.1999999999999993,8.2,8.8,-0.6000000000000014,1,10,1,-1.0,106.0,-117.0
2019_10_MIN_DAL,2019-11-10,DAL,MIN,0,-4.0,26.0,19.6,6.399999999999999,30.0,19.0,11.0,-4.0,0.6000000000000014,-4.600000000000001,1,10,0,3.5,-179.0,160.0
2019_10_LA_PIT,2019-11-10,PIT,LA,1,5.0,25.4,16.8,8.599999999999998,27.4,25.0,2.3999999999999986,-2.0,-8.2,6.199999999999999,1,10,0,-4.0,189.0,-214.0
2019_10_CAR_GB,2019-11-10,GB,CAR,1,8.0,28.2,24.0,4.199999999999999,26.0,26.8,-0.8000000000000007,2.1999999999999993,-2.8000000000000007,5.0,1,10,0,5.0,-227.0,200.0
2019_10_MIA_IND,2019-11-10,IND,MIA,0,-4.0,22.4,21.2,1.1999999999999993,17.4,24.6,-7.200000000000003,5.0,-3.400000000000002,8.400000000000002,1,10,0,11.0,-481.0,390.0
2019_10_KC_TEN,2019-11-10,TEN,KC,1,3.0,15.4,20.6,-5.200000000000001,23.4,22.0,1.3999999999999986,-7.999999999999998,-1.3999999999999986,-6.6,1,10,0,-5.0,205.0,-233.0
2019_10_ARI_TB,2019-11-10,TB,ARI,1,3.0,32.4,35.0,-2.6000000000000014,24.2,27.2,-3.0,8.2,7.800000000000001,0.3999999999999986,1,10,0,5.5,-235.0,207.0
2019_10_NYG_NYJ,2019-11-10,NYJ,NYG,1,7.0,12.6,28.2,-15.6,17.8,31.6,-13.8,-5.200000000000001,-3.400000000000002,-1.799999999999999,1,10,0,-3.0,133.0,-147.0
2019_10_ATL_NO,2019-11-10,NO,ATL,0,-17.0,24.6,14.8,9.8,21.0,35.0,-14.0,3.6000000000000014,-20.2,23.8,1,10,1,14.0,-649.0,503.0
2019_10_BUF_CLE,2019-11-10,CLE,BUF,1,3.0,20.6,27.8,-7.199999999999999,18.4,16.8,1.5999999999999979,2.200000000000003,11.0,-8.799999999999997,1,10,0,3.0,-151.0,136.0
2019_10_BAL_CIN,2019-11-10,CIN,BAL,0,-36.0,14.0,25.4,-11.399999999999999,28.2,23.2,5.0,-14.2,2.1999999999999993,-16.4,1,10,1,-10.5,358.0,-435.0
2019_10_DET_CHI,2019-11-10,CHI,DET,1,7.0,18.4,21.0,-2.6000000000000014,27.4,31.2,-3.8000000000000007,-9.0,-10.2,1.1999999999999993,1,10,1,6.0,-270.0,235.0
